id,date,year,month,day,lat,lon,lat_lon_pair_list,weighting_list
45,2022/3/29,2022,3,29,11.78356,78.15775,"[[11.7, 78.1], [11.7, 78.2], [11.8, 78.1], [11.8, 78.2]]",[0.16619747 0.18029113 0.2811482  0.37236321]
46,2022/3/12,2022,3,12,20.2878,100.05727,"[[20.2, 100.0], [20.2, 100.1], [20.3, 100.0], [20.3, 100.1]]",[0.16070072 0.17251922 0.28769118 0.37908889]
47,2022/3/14,2022,3,14,22.58063,88.2844,"[[22.5, 88.2], [22.5, 88.3], [22.6, 88.2], [22.6, 88.3]]",[0.11816886 0.16795291 0.15928519 0.55459304]
48,2022/3/8,2022,3,8,12.09226,75.24889,"[[12.0, 75.2], [12.0, 75.3], [12.1, 75.2], [12.1, 75.3]]",[0.1634184  0.16177954 0.34471596 0.3300861 ]
50,2021/4/11,2021,4,11,28.68627,77.22178,"[[28.6, 77.2], [28.6, 77.3], [28.7, 77.2], [28.7, 77.3]]",[0.15772011 0.1205092  0.54506245 0.17670825]
53,2015/3/23,2015,3,23,12.21561,79.02891,"[[12.2, 79.0], [12.2, 79.1], [12.3, 79.0], [12.3, 79.1]]",[0.47226027 0.21318217 0.17393921 0.14061836]
57,2021/5/15,2021,5,15,18.74134,76.39596,"[[18.7, 76.3], [18.7, 76.4], [18.8, 76.3], [18.8, 76.4]]",[0.16073249 0.4043218  0.14932348 0.28562224]
59,2021/3/1,2021,3,1,10.76479,76.3732,"[[10.7, 76.3], [10.7, 76.4], [10.8, 76.3], [10.8, 76.4]]",[0.17220966 0.2400988  0.20724764 0.38044391]
60,2021/5/1,2021,5,1,22.47129,113.9952,"[[22.4, 113.9], [22.4, 114.0], [22.5, 113.9], [22.5, 114.0]]",[0.12584106 0.20946801 0.15051839 0.51417253]
61,2021/4/8,2021,4,8,3.42608,98.15266,"[[3.4, 98.1], [3.4, 98.2], [3.5, 98.1], [3.5, 98.2]]",[0.29375662 0.31938712 0.19019989 0.19665637]
68,2019/3/15,2019,3,15,21.7333,79.36635,"[[21.7, 79.3], [21.7, 79.4], [21.8, 79.3], [21.8, 79.4]]",[0.22983638 0.36041332 0.18135978 0.22839052]
69,2020/4/12,2020,4,12,22.39155,113.96848,"[[22.3, 113.9], [22.3, 114.0], [22.4, 113.9], [22.4, 114.0]]",[0.13621798 0.16084359 0.22570557 0.47723286]
70,2020/5/19,2020,5,19,22.31566,114.16602,"[[22.3, 114.1], [22.3, 114.2], [22.4, 114.1], [22.4, 114.2]]",[0.23848071 0.43248423 0.15107682 0.17795823]
71,2020/5/8,2020,5,8,22.46209,114.00085,"[[22.4, 114.0], [22.4, 114.1], [22.5, 114.0], [22.5, 114.1]]",[0.26642922 0.14141897 0.43629604 0.15585577]
72,2020/5/3,2020,5,3,22.46064,114.00419,"[[22.4, 114.0], [22.4, 114.1], [22.5, 114.0], [22.5, 114.1]]",[0.27333135 0.14652679 0.4197405  0.16040135]
73,2018/3/12,2018,3,12,17.44626,73.63996,"[[17.4, 73.6], [17.4, 73.7], [17.5, 73.6], [17.5, 73.7]]",[0.28752516 0.23189325 0.26245456 0.21812703]
74,2019/4/20,2019,4,20,17.96161,73.03639,"[[17.9, 73.0], [17.9, 73.1], [18.0, 73.0], [18.0, 73.1]]",[0.24249279 0.19593894 0.32802663 0.23354165]
75,2019/4/16,2019,4,16,17.93072,73.64773,"[[17.9, 73.6], [17.9, 73.7], [18.0, 73.6], [18.0, 73.7]]",[0.30628466 0.28674721 0.20664648 0.20032165]
76,2018/4/5,2018,4,5,14.23633,121.03297,"[[14.2, 121.0], [14.2, 121.1], [14.3, 121.0], [14.3, 121.1]]",[0.34984781 0.22511852 0.23938014 0.18565353]
103,2018/4/3,2018,4,3,26.864998,89.42028,"[[26.8, 89.4], [26.8, 89.5], [26.9, 89.4], [26.9, 89.5]]",[0.2422979  0.16039063 0.40782612 0.18948535]
104,2018/3/12,2018,3,12,17.43,73.650002,"[[17.4, 73.6], [17.4, 73.7], [17.5, 73.6], [17.5, 73.7]]",[0.29799443 0.29801195 0.20199408 0.20199954]
105,2015/4/5,2015,4,5,12.95976,79.303085,"[[12.9, 79.3], [12.9, 79.4], [13.0, 79.3], [13.0, 79.4]]",[0.27944518 0.14686536 0.41433784 0.15935161]
106,2019/3/27,2019,3,27,22.6395,120.298,"[[22.6, 120.2], [22.6, 120.3], [22.7, 120.2], [22.7, 120.3]]",[0.15786614 0.42174572 0.14483129 0.27555685]
107,2024/4/12,2024,4,12,25.037849,121.548859,"[[25.0, 121.5], [25.0, 121.6], [25.1, 121.5], [25.1, 121.6]]",[0.28400604 0.27588461 0.22202749 0.21808185]
108,2024/4/13,2024,4,13,23.574666,120.293012,"[[23.5, 120.2], [23.5, 120.3], [23.6, 120.2], [23.6, 120.3]]",[0.11952692 0.19010531 0.14788764 0.54248013]
112,2025/3/16,2025,3,16,21.76176,73.49519,"[[21.7, 73.4], [21.7, 73.5], [21.8, 73.4], [21.8, 73.5]]",[0.14530749 0.2661635  0.16072751 0.4278015 ]
113,2024/4/11,2024,4,11,22.325844,114.178082,"[[22.3, 114.1], [22.3, 114.2], [22.4, 114.1], [22.4, 114.2]]",[0.19031089 0.46191121 0.14535696 0.20242094]
114,2023/5/5,2023,5,5,25.000976,121.512435,"[[25.0, 121.5], [25.0, 121.6], [25.1, 121.5], [25.1, 121.6]]",[0.7343343  0.10459615 0.09177729 0.06929226]
116,2024/5/17,2024,5,17,25.025247,121.507009,"[[25.0, 121.5], [25.0, 121.6], [25.1, 121.5], [25.1, 121.6]]",[0.54332663 0.14774343 0.18961107 0.11931887]
117,2024/4/18,2024,4,18,22.193729,113.54126,"[[22.1, 113.5], [22.1, 113.6], [22.2, 113.5], [22.2, 113.6]]",[0.16357946 0.15144465 0.40139942 0.28357646]
119,2020/4/18,2020,4,18,24.180162,120.717807,"[[24.1, 120.7], [24.1, 120.8], [24.2, 120.7], [24.2, 120.8]]",[0.17340695 0.1240251  0.53415929 0.16840866]
120,2022/5/4,2022,5,4,25.227083,121.451716,"[[25.2, 121.4], [25.2, 121.5], [25.3, 121.4], [25.3, 121.5]]",[0.2962897  0.31243885 0.19348893 0.19778252]
121,2023/4/9,2023,4,9,22.639508,120.297646,"[[22.6, 120.2], [22.6, 120.3], [22.7, 120.2], [22.7, 120.3]]",[0.15826525 0.42121793 0.14513522 0.27538159]
122,2023/4/11,2023,4,11,22.999253,120.169286,"[[22.9, 120.1], [22.9, 120.2], [23.0, 120.1], [23.0, 120.2]]",[0.12735912 0.1483791  0.22248638 0.5017754 ]
123,2017/5/11,2017,5,11,25.227498,121.451464,"[[25.2, 121.4], [25.2, 121.5], [25.3, 121.4], [25.3, 121.5]]",[0.29664451 0.31028661 0.19468005 0.19838883]
124,2024/4/2,2024,4,2,25.000982,121.512387,"[[25.0, 121.5], [25.0, 121.6], [25.1, 121.5], [25.1, 121.6]]",[0.73512061 0.10425319 0.09153751 0.0690887 ]
125,2024/4/10,2024,4,10,22.323404,114.187433,"[[22.3, 114.1], [22.3, 114.2], [22.4, 114.1], [22.4, 114.2]]",[0.15743174 0.53640364 0.12258666 0.18357796]
126,2025/3/23,2025,3,23,18.95177,72.81768,"[[18.9, 72.8], [18.9, 72.9], [19.0, 72.8], [19.0, 72.9]]",[0.31241158 0.17574771 0.33270824 0.17913248]
128,2025/4/4,2025,4,4,22.9992,120.16932,"[[22.9, 120.1], [22.9, 120.2], [23.0, 120.1], [23.0, 120.2]]",[0.12731626 0.14838645 0.2222565  0.50204078]
129,2025/4/14,2025,4,14,24.15025,120.68584,"[[24.1, 120.6], [24.1, 120.7], [24.2, 120.6], [24.2, 120.7]]",[0.17150538 0.3267576  0.1719404  0.32979663]
131,2025/4/21,2025,4,21,25.112385,121.56119,"[[25.1, 121.5], [25.1, 121.6], [25.2, 121.5], [25.2, 121.6]]",[0.26538019 0.40669149 0.15503253 0.1728958 ]
132,2025/4/11,2025,4,11,25.018954,121.53168,"[[25.0, 121.5], [25.0, 121.6], [25.1, 121.5], [25.1, 121.6]]",[0.43606945 0.22705695 0.185002   0.1518716 ]
135,2023/5/20,2023,5,20,25.226839,121.451511,"[[25.2, 121.4], [25.2, 121.5], [25.3, 121.4], [25.3, 121.5]]",[0.29771111 0.31201317 0.19326079 0.19701493]
143,2013/5/1,2013,5,1,24.886199,121.251162,"[[24.8, 121.2], [24.8, 121.3], [24.9, 121.2], [24.9, 121.3]]",[0.17011068 0.17211275 0.32178627 0.3359903 ]
160,2025/4/10,2025,4,10,3.679510963,97.66043613,"[[3.6, 97.6], [3.6, 97.7], [3.7, 97.6], [3.7, 97.7]]",[0.16860057 0.18960117 0.26386617 0.37793209]
161,2019/4/26,2019,4,26,28.49336709,77.26529472,"[[28.4, 77.2], [28.4, 77.3], [28.5, 77.2], [28.5, 77.3]]",[0.1407597  0.16100247 0.24435537 0.45388247]
162,2025/5/21,2025,5,21,24.74482,121.7481383,"[[24.7, 121.7], [24.7, 121.8], [24.8, 121.7], [24.8, 121.8]]",[0.2683596  0.25750698 0.24104508 0.23308834]
163,2025/5/13,2025,5,13,20.72484922,86.86698031,"[[20.7, 86.8], [20.7, 86.9], [20.8, 86.8], [20.8, 86.9]]",[0.23208554 0.40121804 0.16470484 0.20199159]
164,2025/5/16,2025,5,16,20.7880645,107.0554378,"[[20.7, 107.0], [20.7, 107.1], [20.8, 107.0], [20.8, 107.1]]",[0.1627325  0.17157632 0.29861931 0.36707187]
165,2025/5/16,2025,5,16,20.7885099,107.0541862,"[[20.7, 107.0], [20.7, 107.1], [20.8, 107.0], [20.8, 107.1]]",[0.16361093 0.17036679 0.30653753 0.35948475]
166,2025/5/16,2025,5,16,22.97379503,120.1842452,"[[22.9, 120.1], [22.9, 120.2], [23.0, 120.1], [23.0, 120.2]]",[0.13483603 0.20012444 0.17116144 0.49387809]
167,2025/4/27,2025,4,27,28.53011892,77.19255064,"[[28.5, 77.1], [28.5, 77.2], [28.6, 77.1], [28.6, 77.2]]",[0.15720514 0.49314293 0.13193513 0.2177168 ]
168,2025/4/28,2025,4,28,22.21560013,113.5448799,"[[22.2, 113.5], [22.2, 113.6], [22.3, 113.5], [22.3, 113.6]]",[0.35741968 0.2964539  0.17765784 0.16846858]
169,2025/4/27,2025,4,27,28.48308,77.11479697,"[[28.4, 77.1], [28.4, 77.2], [28.5, 77.1], [28.5, 77.2]]",[0.15540292 0.11019884 0.58343089 0.15096735]
170,2025/4/27,2025,4,27,22.20013409,113.5506103,"[[22.2, 113.5], [22.2, 113.6], [22.3, 113.5], [22.3, 113.6]]",[0.34117719 0.34960895 0.1542287  0.15498516]
171,2025/4/26,2025,4,26,22.12262783,113.5707167,"[[22.1, 113.5], [22.1, 113.6], [22.2, 113.5], [22.2, 113.6]]",[0.2168175  0.43500763 0.15358102 0.19459385]
172,2025/4/19,2025,4,19,8.508183333,76.96213611,"[[8.5, 76.9], [8.5, 77.0], [8.6, 76.9], [8.6, 77.0]]",[0.26217875 0.42416738 0.14821037 0.1654435 ]
173,2025/4/14,2025,4,14,24.15025,120.685845,"[[24.1, 120.6], [24.1, 120.7], [24.2, 120.6], [24.2, 120.7]]",[0.17149755 0.32676534 0.17193251 0.3298046 ]
174,2025/3/12,2025,3,12,20.15685283,99.62094167,"[[20.1, 99.6], [20.1, 99.7], [20.2, 99.6], [20.2, 99.7]]",[0.28104521 0.17486215 0.35503459 0.18905806]
175,2025/3/19,2025,3,19,13.90185519,100.5301662,"[[13.9, 100.5], [13.9, 100.6], [14.0, 100.5], [14.0, 100.6]]",[0.50558697 0.21873431 0.14882166 0.12685707]
176,2021/6/21,2021,6,21,34.930881,137.060872,"[[34.9, 137.0], [34.9, 137.1], [35.0, 137.0], [35.0, 137.1]]",[0.2518992  0.34493989 0.1866828  0.21647811]
177,2020/5/17,2020,5,17,22.325707,114.178054,"[[22.3, 114.1], [22.3, 114.2], [22.4, 114.1], [22.4, 114.2]]",[0.19030543 0.4626843  0.14513001 0.20188026]
178,2024/3/23,2024,3,23,18.80459,99.135513,"[[18.8, 99.1], [18.8, 99.2], [18.9, 99.1], [18.9, 99.2]]",[0.45114913 0.2498823  0.15868514 0.14028343]
179,2017/3/16,2017,3,16,13.727521,100.363846,"[[13.7, 100.3], [13.7, 100.4], [13.8, 100.3], [13.8, 100.4]]",[0.2434087  0.37244956 0.17520525 0.20893649]
180,2018/3/18,2018,3,18,13.791528,100.320025,"[[13.7, 100.3], [13.7, 100.4], [13.8, 100.3], [13.8, 100.4]]",[0.13802839 0.10639853 0.59476864 0.16080444]
181,2017/4/7,2017,4,7,18.772084,98.977532,"[[18.7, 98.9], [18.7, 99.0], [18.8, 98.9], [18.8, 99.0]]",[0.15057852 0.21112592 0.19344721 0.44484836]
182,2017/3/19,2017,3,19,13.757673,99.843949,"[[13.7, 99.8], [13.7, 99.9], [13.8, 99.8], [13.8, 99.9]]",[0.24258222 0.21871327 0.28827348 0.25043103]
183,2016/4/8,2016,4,8,14.654967,121.067435,"[[14.6, 121.0], [14.6, 121.1], [14.7, 121.0], [14.7, 121.1]]",[0.19999728 0.27233943 0.21457361 0.31308968]
184,2025/3/9,2025,3,9,17.918169,121.691893,"[[17.9, 121.6], [17.9, 121.7], [18.0, 121.6], [18.0, 121.7]]",[0.13143092 0.61879886 0.10005415 0.14971607]
185,2025/3/13,2025,3,13,15.653969,120.819615,"[[15.6, 120.8], [15.6, 120.9], [15.7, 120.8], [15.7, 120.9]]",[0.29756391 0.17647955 0.34149439 0.18446216]
